D652,1,"1.       Yang, Y.H., Wu, J.C., Li, X.J., Pan, X.Y., Li, Z.J., He, F. Impact of tillage and soil moisture conservation measures on photosynthetic characteristics and water use of winter wheat. Chinese journal of eco-agriculture 22(5), 534-542 (2014). (in Chinese with English abstract).",
D652,2,"2.       Yang, Y.H., Wu, J.C., Pan, X.Y., Zhang, J.M., He, F., Zhang, Y.T., Wang, Z., Wang, Y., Han, W.F. Effect of nitrogen fertilizer application rate on water consumption, yield and water production efficiency of wheat under different tillage and soil moisture conservation measures. Journal of Henan agricultural sciences 45(4), 61-65 (2016). (in Chinese with English abstract).",
D652,3,"3.       Yang, Y.H., Wu, J.C., Wang, H.Q., Guo, Q., He, F. Pan, X.Y. Effects of different measures of tillage and soil moisture conservation on anniversary water use efficiencies of wheat and corn. Journal of irrigation and drainage 33(4/5), 63-66 (2014). (in Chinese with English abstract).",
D652,4,"4.       Yang, Y.H., Wu, J.C., Zhang, Y.T., Pan, X.Y., Ding, J.L., Zhang, J.M., He, F., Wang, Y.E. Effects of tillage, moisture conservation on water use and yield in wheat at different growth stages. Acta agriculture boreal-sinica 31(3), 184-190 (2016). (in Chinese with English abstract).",
D652,5,"5.       Yang, Y.H., Wu, P.T., Wu, J.C., Zhao, S.W., Zhao, X.N., Huang, Z.B., He, F. Impacts of water-retaining agent on soil moisture and water use in different growth stages of winter wheat [J]. Transactions of the CSAE, 26(12): 19-26 (2010). (in Chinese with English abstract).",
D652,6,"6.       Yang Y.H., Wu, J.C., Li. Z.J., Guan, X.J，He, F. Effects of Water-retaining Agent on Growth and Water Use Efficiency of Winter-wheat. Acta agriculture boreal-sinica, 26 (3):173-178 (2011). (in Chinese with English abstract).",
D652,7,"7.       Bai, G.S., Zhang R., Geng, G.J., Du, S.N., Yu, J. Effects of super absorbent polymer on soil moisture content and spring wheat growth in the Hetao irrigated area. Arid zone research 29(3), 393-399 (2012). (in Chinese with English abstract).",
D652,8,"8.       Yang Y.H., Wu, J.C., Li, Z.J, Li X.J., He F., Hou, Z.L., Yang X.M. Impacts of dosage of water-retaining agent on growth and water and fertilizer utilization of winter wheat. Agricultural Research in the Arid Areas,3(31),0127-06 ( 2013). (in Chinese with English abstract).",
D652,9,"9.       Wu, C.F., Wen, Q., Han, Y.L., Wang, Q., Jiang, Y., Li, P.P. Effect of Water Retaining Agent and Straw Applications on Water and Fertilizer Status and Wheat Yield in Sandy Chao Soil [J]. Chinese Journal of Soil Science, 48(3):692-700 (2017). (in Chinese with English abstract).",
D652,10,"10.   Yang, Y.H., Wu, J.C., Zhang, J.M., Pan, X.Y., Wang, Y., He, F., Han, W.F. Effects of different tillage measures maintaining soil moisture on water consumption characteristics and anniversary water utilization for wheat and maize. Acta agriculturae boreali-sinica 32(3),103-110 (2013). (in Chinese with English abstract).",
D652,11,"11.   Yang, Y.H., Wu, J.C., Zhao, S.W., Pan, X.Y., Zhang, J.M., Gao, C.M., Wang, Y, He, F. Effects of different soil moisture conservation and soil structure improvement measures on soil structure and water use of wheat and maize. Research of soil and water conservation 25(2),220-227 (2018). (in Chinese with English abstract).",
D652,12,"12.   Zuo, X. Effect of different water saving methods on winter wheat. Chinese Academy of Agricultural Sciences 2006, Dissertation for the Master Degree. (In Chinese with English abstract).",
D652,13,"13.   Wang, Z. Effects of different water-saving measures and the amount of supplemental irrigation on physiological and biochemical characteristics and yield. Henan University 2015, Dissertation for the Master Degree. (In Chinese with English abstract).",
D652,14,"14.   Ma, Y.H., Yin, B.Z., Guo, L.G., Zhen, W.C. Screening of water retention agents and evaluation of their water-saving effects in wheat field in Hebei Province. Crops (2), 111-117 (2015). (in Chinese with English abstract).",
D652,15,"15.   Bai, M. Studies on Saving Water Mechanism of Different Chemical Agents in Winter Wheat Field of Semi-humid Irrigation area. Shandong Agricultural University 2007, Dissertation for the Master Degree. (In Chinese with English abstract).",
D652,16,"16.   Effects of nutritional and drought-resistant supper absorbent polymer combined with nitrogen fertilizer on soil and crop. Northwest A&F University 2011, Dissertation for the Ph.D. degree. (In Chinese with English abstract).",
D652,17,"17.   Li, Z.Y., Lv, M.C., Fan, X.Y., Du, Z.J., Hu, C. Influences of different kinds of water retentive agents on water use efficiency and root morphology of winter wheat. Chinese journal of applied ecology 26(12) 3753-3758 (2015). (in Chinese with English abstract).",
D652,18,"18.   Lei, Q., Han, Y.L., Tan, J.F., Miao, Y.H., Wang, Q., Li, P.P., Xu, M.G., Li, H. Effects of water-retaining agent on yield and water use efficiency of winter wheat under different moisture conditions. Chinese journal of Soil and Fertilizer (3) 78-83 (2014) (in Chinese with English abstract).",
D652,19,"19.   Liu, M.M., Sun, J.N., Zhai, S.S., Xu, Y.S., Li, J., Wang, Y.F., Zhang, Y.Z., Shi, Y. Effect of atapulgite water retaining agent on wheat quality and yield in dryland. Tillage and cultivation (04) 4-7 (2018). (in Chinese with English abstract).",
D652,20,"20.   Yang, Y.H., Wu, J.C., Wu, P.T., Huang, Z.B., He, F., Yang, X.M. Response of water use of winter wheat at different growth stages to nitrogen fertilizer and water-retaining agent. Chinese journal of eco-agriculture 20(7) 888-894 (2012). (in Chinese with English abstract).",
D652,21,"21.   Lei, Q. Study on effects of water-retaining agent (PAM) application in wheat field in Chao sandy soil. Henan agricultural university 2014. Dissertation for the master degree. (In Chinese with English abstract)",
D652,22,"22.   Wang, H.B. Effects of tillage methods and super absorbent polymers on loessial soil characteristics, winter wheat yield, water and nitrogen use. Chinese academy of agricultural sciences 2019, Dissertation for the Ph.D. degree. (In Chinese with English abstract).",
D652,23,"23.   Huang, T. Effects of different water conservation measures on growing and development of winter wheat and soil fertility in dryland of Southern Shanxi. Shanxi agricultural university 2018, Dissertation for the Master Degree. (In Chinese with English abstract).",
D652,24,"24.   Wang, Y.F. Effects of atapulgite water retaining agent on wheat growth and soil properties in dryland. Qingdao agricultural university 2017. Dissertation for the master degree. (In Chinese with English abstract).",
D652,25,"25.   Hou, G.Y. Effects of water-retaining materials on wheat growth and soil properties in Hetao irrigation area. Inner Mongolia agricultural university 2012, Dissertation for the master degree.",
D652,26,"26.   Xiang, X.M., Liu, Z.X., Zheng, Z.P. Effect of Water Absorbents on Germination and Yield of Spring Wheat. Chinese Agricultural Science Bulletin 3(17) (2001). (in Chinese with English abstract).",
D652,27,"27.   Guo, L.Y., Lu, Z.Y., Zhang, D.J., Zhang, X.Q., Cheng, Y.C. The effect of water-saving agent on traits and yield of wheat on conservation tillage. Inner Mongolia agricultural science and technology 43(4) 14-16 (2015). (in Chinese with English abstract).",
D652,28,"28.   Sun, Y.X., Li, J, C., Zhao, F.P. Effect of water retaining agent on wheat growth and yield. Beijing Agricultural Science 08(10) (1994). (in Chinese with English abstract).",
D652,29,"29.   Yang, Y.H., Wu, J.C., Wu, P.T., Guan, X.J., He, F. Effects of water-retaining agent on growth and physiological characteristic of winter wheat. Agricultural research in the arid areas 29(03) 133-137 (2011). (in Chinese with English abstract).",
D652,30,"30.   Han, B., Zhang, M., Ding, Y.H., Qin, Y.H., Wang, F., Qing, C. K., Li, W. H., Yin, Z. K. Effect of supper absorbent polymer on growth characteristics and yield of Wheat. Jiangsu Agricultural Sciences 45(24): 72-74(2011). (in Chinese with English abstract).",
D652,31,"31.   Han, Q.R., Luo, Y.Q., Fang, C. L. Effects of water retaining agent and drought resistance agent on wheat growth and development. Beijing Agricultural Science (01):35-37 (1991). (in Chinese with English abstract).",
D652,32,"32.   Study on physio-ecological traits and yield of super absorbent polymers and other water-retaining measures combination on winter wheat. Henan University 2015, Dissertation for the Master Degree. (In Chinese with English abstract).",
D652,33,"33.   Zhang, R., Geng, G.J., Bai, G.S., Du, S.N. Effects of super absorbent polymer with different application methods on soil moisture, soil temperature and production of spring wheat. Journal of Zhejiang university 38(2) 211-219 (2012). (in Chinese with English abstract).",
D652,34,"34.   Yang, Y.H., Wu, J.C., He, F., Guan, X.J. Effect of dosage of water-retaining agent on photosynthetic characteristics and water utilization in different growth stages of winter wheat. Agricultural research in the arid areas 27 (4) 131-135 (2009). (in Chinese with English abstract).",
D652,35,"35.   Yang, Y.H., Wu, J.C., Wu, P.T., Huang, Z.B., Zhao, X.N., Guan, X.J., He, F. Effects of different application rates of water-retaining agent on root physiological characteristics of winter wheat at its different growth stages. Chinese journal of applied ecology 22(1) 73-78 (2011). (in Chinese with English abstract).",
D652,36,"36.   Wang, L.G., Wu, J.C., Wang, L.Q. Optimal soil moisture regime for effective use of water absorbent and effect of its use on yield of wheat. Soil 01, 80-82(2003). (in Chinese with English abstract).",
D652,37,"37.   Wu C.F., Wen Q., Han Y.L., Wang, Q., Jiang, Y, Li, P.P. Effect of Water Retaining Agent and Straw Applications on Water and Fertilizer Status and Wheat Yield in Sandy Chao Soil [J]. Chinese Journal of Soil Science, 48(3)(2017) .(in Chinese with English abstract).",
D652,38,"38.   Kang, S. Z. Application of Super Absorbent Polymer in WATER-saving Irrigation and Its effect on Crop Growth and Water Use Efficiency. Northwest A&F University 2000, Dissertation for the master degree. (In Chinese with English abstract).",
D652,39,"39.   Li, P.P., Tong, H.T., Zhai, Q.H., Han, Y. L., Jiang, Y. Effects of water conservation measures on soil moisture, microbial biomass and wheat yield in a sandy fluvio-aquatic soil. Chinese journal of Soil and Fertilizer, (04):78-83(2019). (in Chinese with English abstract).",
D652,40,"40.   Ding, R.X. Topic of the dissertation: effect of Kehan 98 on winter wheat cultivation physiology and yield character. Northwest A&F University 2003, Dissertation for the master degree. (In Chinese with English abstract).",
D652,41,"41.   Xiang, Y.Z, Lu, X.H, Yang, Y. T. The water-retaining and yield-increase effects of BP aquasorb in the mountainous region of south Ningxia. Agricultural Research in the Arid Areas, 23(03):162-165 (2005). (in Chinese with English abstract).",
D652,42,"42.   Liao, S.R. Duan, Y. Effects of different technical measures and supplementary irrigation on ""wheat-corn"" yields. Bulletin of agricultural science and technology (09) 61-64 (2017) (in Chinese with English abstract).",
D652,43,"43.   Zhang, Y., Ma, H.Y. Effects of different amount of water retaining agent on wheat photosynthesis and yield. Journal of Qingdao agricultural university 25(4) 265-267 (2008) (in Chinese with English abstract).",
D652,44,"44.   Zhuang, W.H., Wu, P.T., Feng, H., Xu, F.L., Li, B.F., Ning, R.C. Effects of super absorbent polymer of sodium polyacrylate used in soil on the growth and yield of winter wheat [J]. Transactions of the CSAE, 24(5):37－41(2008 )(in Chinese with English abstract).",
D652,45,"45.   Feng B., Li G.F., Li Z.X., Wang, F.H. Effects of Different Sizes of Water retaining Agent Combined with Nitrogen Fertilizer on Wheat Photosynthetic Characteristics and Grain Yield. Shandong Agricultural Sciences 47(09):80-84(2015) (in Chinese with English abstract).",
D652,46,"46.   Yu, L. Effects of new liquid water retaining agent on yield and water use efficiency of winter wheat. Hebei agricultural university 2018, Dissertation for the master degree (in Chinese with English abstract).",
